Nome,Latitude,Longitude,Altitude
Campos - São Tomé-A620,-22.041647,-41.051871,7 
Duque de Caxias - Xerém-A603,-22.589806,-43.282233,24 
Itatiaia - Parque Nacional-A635,-22.373944,-44.703111,2.450 
Macaé-A608,-22.376318,-41.812053,25 
Nova Friburgo-Salinas-A624,-22.334839,-42.676932,1.065 
Paraty-A619,-23.223540,-44.726863,3 
Petrópolis - Pico do Couto-A610,-22.464889,-43.291505,1.758 
Resende-A609,-22.450924,-44.444786,439 
Rio Claro (Passa Três)-A626,-22.653580,-44.040916,516 
Rio de Janeiro - Forte de Copacabana-A652,-22.988286,-43.190436,26 
Rio de Janeiro-Jacarepaguá-A636,-22.939883,-43.402897,20 
Rio de Janeiro - Marambaia-A602,-23.050334,-43.595685,9 
Rio de Janeiro - Vila Militar-A621,-22.861322,-43.411410,30 
Saquarema - Sampaio Correia-A667,-22.871321,-42.609219,26 
Seropédica - Ecologia Agrícola-A601,-22.757868,-43.684843,35 
Silva Jardim-A659,-22.645911,-42.415775,19 
Teresópolis - Parque Nacional-A618,-22.448922,-42.987146,991 
Três Rios-A625,-22.098391,-43.208574,305 
Valença-A611,-22.358094,-43.695656,367 
Apodi-A340,-5.626559,-37.814991,131 
Caicó-A316,-6.467474,-37.084931,171 
Calcanhar-A344,-5.159925,-35.487616,10 
Ipanguaçu-A372,-5.534867,-36.872314,19 
Macau-A317,-5.151035,-36.573142,17 
Mossoró-A318,-4.904087,-37.366943,29 
Natal-A304,-5.837187,-35.207921,47 
Santa Cruz-A367,-6.227922,-36.026587,227 
Ariquemes-A940,-9.949001,-62.961873,128 
Cacoal-A939,-11.445837,-61.434146,184 
Porto Velho-A925,-8.793662,-63.845931,87 
Vilhena-A938,-12.734862,-60.157784,583 
Boa Vista-A135,2.816897,-60.690821,82 
Alegrete-A826,-29.709083,-55.525486,121 
Bagé-A827,-31.347801,-54.013292,226 
Bento Gonçalves-A840,-29.164581,-51.534202,623 
Caçapava do Sul-A812,-30.545317,-53.467050,421 
Camaquã-A838,-30.807953,-51.834240,92 
Cambará do Sul-A897,-29.049125,-50.149636,1.017 
Campo Bom-A884,-29.674293,-51.064042,23 
Canela-A879,-29.368788,-50.827231,831 
Canguçu-A811,-31.403299,-52.700699,447 
Cruz Alta-A853,-28.603440,-53.673597,427 
Dom Pedrito-A881,-30.992475,-54.815270,157 
Erechim-A828,-27.657710,-52.305805,777 
Frederico Westphalen-A854,-27.395686,-53.429421,489 
Ibirubá-A883,-28.653458,-53.111881,455 
Jaguarão-A836,-32.534825,-53.375860,31 
Lagoa Vemelha-A844,-28.222381,-51.512845,834 
Mostardas-A878,-31.248279,-50.906279,4 
Palmeira das Missões-A856,-27.920379,-53.318049,614 
Passo Fundo-A839,-28.226805,-52.403582,681 
Porto Alegre-A801,-30.053536,-51.174766,41 
Quaraí-A831,-30.368578,-56.437115,113 
Rio Grande-A802,-32.078780,-52.167738,5 
Rio Pardo-A813,-29.872113,-52.381980,107 
Santa Maria-A803,-29.724960,-53.720469,103 
Santana do Livramento-A804,-30.842449,-55.613089,328 
Santa Rosa-A810,-27.890463,-54.480014,273 
